Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
80366254.0,2024-08-01,,,,0.0012,,,,Consumer Goods & Retail
96417624.0,2024-08-01,,,,0.0058,,,,Energy & Resources
96417624.0,2024-08-01,,,,0.0058,,,,Energy & Resources
80847193.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
80847193.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
81809916.0,2024-08-01,,,,0.0012,,,,Financial Services
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96808921.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
97514955.0,2024-08-01,,,,0.0202,,,,Technology & Software
96855122.0,2024-08-01,,,,0.0202,,,,Technology & Software
96855122.0,2024-08-01,,,,0.0202,,,,Technology & Software
96855122.0,2024-08-01,,,,0.0202,,,,Technology & Software
96846805.0,2024-08-01,,,,0.0202,,,,Technology & Software
96846805.0,2024-08-01,,,,0.0202,,,,Technology & Software
96846805.0,2024-08-01,,,,0.0202,,,,Technology & Software
97635553.0,2024-08-01,,,,0.0005,,,,Energy & Resources
97635553.0,2024-08-01,,,,0.0005,,,,Energy & Resources
97581863.0,2024-08-01,,,,0.0005,,,,Energy & Resources
97373469.0,2024-08-01,,,,0.2387,,,,Financial Services
97337768.0,2024-08-01,,,,0.0058,,,,Industrial & Manufacturing
84017070.0,2024-08-01,,,,0.0005,,,,Energy & Resources
84017070.0,2024-08-01,,,,0.0005,,,,Energy & Resources
84017070.0,2024-08-01,,,,0.0005,,,,Energy & Resources
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
91360892.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
97250886.0,2024-08-01,,,,0.0202,,,,Energy & Resources
97211986.0,2024-08-01,,,,0.0202,,,,Unassigned
97211983.0,2024-08-01,,,,0.0202,,,,Energy & Resources
96196296.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268544.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268544.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268544.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268544.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96268550.0,2024-08-01,,,,0.0012,,,,Healthcare & Pharmaceuticals
96425717.0,2024-08-01,,,,0.2387,,,,Telecommunications & Media
96173016.0,2024-08-01,,,,0.2387,,,,Healthcare & Pharmaceuticals
90265313.0,2024-08-01,,,,0.0202,,,,Technology & Software
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
96872571.0,2024-08-01,,,,0.0012,,,,Industrial & Manufacturing
80104893.0,2024-08-01,,,,0.0202,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
80762986.0,2024-08-01,,,,0.0058,,,,Telecommunications & Media
